# Tabla de verdad
# Generado a partir de un circuito Binary_to_Two_Seven_Segment
# Exportado en Sat Apr 03 10:44:00 COT 2021

# Consejos y notas sobre el formato:
# * Puede editar este archivo y luego importarlo de nuevo a Logisim!
# * Cualquier cosa después de un '#' es un comentario y será ignorado.
# * Las líneas en blanco y las líneas de separación (por ejemplo, ~~~~~~~) se ignoran.
%a * Mantener nombres de columnas simples (sin espacios, puntuación, etc.)
# * 'Nombre[N..0]' indica una variable de 1 bit N, mientras que
# 'Nombre' por sí mismo indica una variable de 1 bit.
Puedes usar'x' o'-' para indicar "no me importa" para ambos.
# bits de entrada y salida.
Puede utilizar la notación binaria (por ejemplo,'10100011xxxxxx') o
y o hexadecimal (por ejemplo, 'C3x'). Logisim averiguará cuál es cuál.

entrance[7..0] | aa bb cc dd ee ff gg a b c d e f g
   10111000    | 1  1  1  1  1  1  1  0 0 1 1 1 1 1
   10111001    | 1  1  1  0  0  1  1  0 0 1 1 1 1 1
   10111010    | 1  1  1  0  1  1  1  0 0 1 1 1 1 1
   10111011    | 0  0  1  1  1  1  1  0 0 1 1 1 1 1
   10111100    | 1  0  0  1  1  1  0  0 0 1 1 1 1 1
   10111101    | 0  1  1  1  1  0  1  0 0 1 1 1 1 1
   10111110    | 1  0  0  1  1  1  1  0 0 1 1 1 1 1
   10111111    | 1  0  0  0  1  1  1  0 0 1 1 1 1 1
   11000000    | 1  1  1  1  1  1  0  1 0 0 1 1 1 0
   11000001    | 0  1  1  0  0  0  0  1 0 0 1 1 1 0
   11000010    | 1  1  0  1  1  0  1  1 0 0 1 1 1 0
   11000011    | 1  1  1  1  0  0  1  1 0 0 1 1 1 0
   11000100    | 0  1  1  0  0  1  1  1 0 0 1 1 1 0
   11000101    | 1  0  1  1  0  1  1  1 0 0 1 1 1 0
   11000110    | 1  0  1  1  1  1  1  1 0 0 1 1 1 0
   11000111    | 1  1  1  0  0  0  0  1 0 0 1 1 1 0
   11001000    | 1  1  1  1  1  1  1  1 0 0 1 1 1 0
   11001001    | 1  1  1  0  0  1  1  1 0 0 1 1 1 0
   11001010    | 1  1  1  0  1  1  1  1 0 0 1 1 1 0
   11001011    | 0  0  1  1  1  1  1  1 0 0 1 1 1 0
   11001100    | 1  0  0  1  1  1  0  1 0 0 1 1 1 0
   11001101    | 0  1  1  1  1  0  1  1 0 0 1 1 1 0
   11001110    | 1  0  0  1  1  1  1  1 0 0 1 1 1 0
   11001111    | 1  0  0  0  1  1  1  1 0 0 1 1 1 0
   11010000    | 1  1  1  1  1  1  0  0 1 1 1 1 0 1
   11010001    | 0  1  1  0  0  0  0  0 1 1 1 1 0 1
   11010010    | 1  1  0  1  1  0  1  0 1 1 1 1 0 1
   11010011    | 1  1  1  1  0  0  1  0 1 1 1 1 0 1
   11010100    | 0  1  1  0  0  1  1  0 1 1 1 1 0 1
   11010101    | 1  0  1  1  0  1  1  0 1 1 1 1 0 1
   11010110    | 1  0  1  1  1  1  1  0 1 1 1 1 0 1
   11010111    | 1  1  1  0  0  0  0  0 1 1 1 1 0 1
   11011000    | 1  1  1  1  1  1  1  0 1 1 1 1 0 1
   11011001    | 1  1  1  0  0  1  1  0 1 1 1 1 0 1
   11011010    | 1  1  1  0  1  1  1  0 1 1 1 1 0 1
   11011011    | 0  0  1  1  1  1  1  0 1 1 1 1 0 1
   11011100    | 1  0  0  1  1  1  0  0 1 1 1 1 0 1
   11011101    | 0  1  1  1  1  0  1  0 1 1 1 1 0 1
   11011110    | 1  0  0  1  1  1  1  0 1 1 1 1 0 1
   11011111    | 1  0  0  0  1  1  1  0 1 1 1 1 0 1
   11100000    | 1  1  1  1  1  1  0  1 0 0 1 1 1 1
   11100001    | 0  1  1  0  0  0  0  1 0 0 1 1 1 1
   11100010    | 1  1  0  1  1  0  1  1 0 0 1 1 1 1
